Date,Time,HomeTeam,AwayTeam,FTR,HomePoints,AwayPoints,FTR_numerical,HT_form_points_5,AT_form_points_5,HT_h2h_points_5,AT_h2h_points_5
2023-12-19,14:00,Buyuksehyr,Sivasspor,H,3,0,1,1.4,1.0,0.0,0.0
2023-12-19,17:00,Gaziantep,Ad. Demirspor,D,1,1,0,1.2,0.6,0.0,0.0
2023-12-20,14:00,Kayserispor,Fenerbahce,A,0,3,2,2.6,2.0,0.0,0.0
2023-12-20,17:00,Antalyaspor,Kasimpasa,D,1,1,0,2.2,0.6,0.0,0.0
2023-12-20,17:00,Galatasaray,Karagumruk,H,3,0,1,2.4,1.4,0.0,0.0
2023-12-21,17:00,Besiktas,Alanyaspor,A,0,3,2,1.4,0.8,0.0,0.0
2023-12-21,14:00,Rizespor,Pendikspor,H,3,0,1,1.6,1.2,0.0,0.0
2023-12-21,14:00,Samsunspor,Konyaspor,D,1,1,0,1.8,1.0,0.0,0.0
2023-12-21,17:00,Ankaragucu,Hatayspor,D,1,1,0,1.2,0.8,0.0,0.0
2023-12-23,13:00,Karagumruk,Gaziantep,A,0,3,2,1.2,0.8,0.0,0.0
2023-12-23,16:00,Trabzonspor,Buyuksehyr,D,1,1,0,2.0,1.8,0.0,0.0
2023-12-23,10:30,Sivasspor,Istanbulspor,H,3,0,1,0.8,0.6,0.0,0.0
2023-12-24,10:30,Konyaspor,Kayserispor,H,3,0,1,1.0,2.0,0.0,0.0
2023-12-24,13:00,Ad. Demirspor,Antalyaspor,H,3,0,1,0.6,1.8,0.0,0.0
2023-12-24,16:00,Fenerbahce,Galatasaray,D,1,1,0,2.6,2.4,0.0,0.0
2023-12-25,14:00,Alanyaspor,Samsunspor,H,3,0,1,1.4,1.4,0.0,0.0
2023-12-25,14:00,Kasimpasa,Rizespor,D,1,1,0,0.8,2.2,0.0,0.0
2023-12-25,17:00,Hatayspor,Besiktas,A,0,3,2,1.0,1.4,0.0,0.0
2023-12-25,17:00,Pendikspor,Ankaragucu,D,1,1,0,0.6,1.2,0.0,0.0
2024-01-05,17:00,Besiktas,Kasimpasa,A,0,3,2,1.4,1.0,0.0,0.0
2024-01-05,14:00,Gaziantep,Pendikspor,D,1,1,0,0.8,0.2,0.0,0.0
2024-01-05,17:00,Antalyaspor,Alanyaspor,D,1,1,0,1.2,2.0,0.0,0.0
2024-01-06,16:00,Samsunspor,Karagumruk,H,3,0,1,1.4,0.6,0.0,0.0
2024-01-06,16:00,Ankaragucu,Trabzonspor,A,0,3,2,1.4,1.6,0.0,0.0
2024-01-06,10:30,Rizespor,Hatayspor,H,3,0,1,1.8,0.4,0.0,0.0
2024-01-06,13:00,Buyuksehyr,Ad. Demirspor,D,1,1,0,2.0,1.0,0.0,0.0
2024-01-07,10:30,Kayserispor,Sivasspor,A,0,3,2,1.4,1.4,0.0,0.0
2024-01-07,13:00,Istanbulspor,Fenerbahce,A,0,3,2,0.6,2.6,0.0,0.0
2024-01-07,16:00,Galatasaray,Konyaspor,H,3,0,1,2.6,1.6,0.0,0.0
2024-01-09,17:00,Kasimpasa,Buyuksehyr,A,0,3,2,1.6,1.6,0.0,0.0
2024-01-09,14:00,Alanyaspor,Ankaragucu,D,1,1,0,2.2,0.8,0.0,0.0
2024-01-09,14:00,Pendikspor,Antalyaspor,A,0,3,2,0.4,1.2,0.0,0.0
2024-01-09,17:00,Rizespor,Besiktas,A,0,3,2,2.2,0.8,0.0,0.0
2024-01-10,17:00,Fenerbahce,Konyaspor,H,3,0,1,2.6,1.0,0.0,0.0
2024-01-10,17:00,Ad. Demirspor,Istanbulspor,D,1,1,0,1.0,0.0,0.0,0.0
2024-01-10,14:00,Karagumruk,Kayserispor,H,3,0,1,0.6,1.2,0.0,0.0
2024-01-10,14:00,Hatayspor,Gaziantep,D,1,1,0,0.4,1.0,0.0,0.0
2024-01-11,14:00,Sivasspor,Galatasaray,D,1,1,0,1.8,2.6,0.0,0.0
2024-01-11,17:00,Trabzonspor,Samsunspor,H,3,0,1,2.0,2.0,0.0,0.0
2024-01-13,10:30,Ankaragucu,Kasimpasa,H,3,0,1,0.8,1.0,0.0,0.6
2024-01-13,10:30,Hatayspor,Pendikspor,D,1,1,0,0.4,0.4,0.6,0.0
2024-01-13,13:00,Buyuksehyr,Alanyaspor,H,3,0,1,2.2,2.2,0.0,0.6
2024-01-13,16:00,Besiktas,Karagumruk,H,3,0,1,1.2,0.6,0.6,0.0
2024-01-13,16:00,Rizespor,Ad. Demirspor,H,3,0,1,1.6,1.2,0.0,0.6
2024-01-14,16:00,Gaziantep,Fenerbahce,A,0,3,2,1.2,2.6,0.0,0.6
2024-01-14,13:00,Samsunspor,Sivasspor,H,3,0,1,1.4,2.0,0.2,0.2
2024-01-14,13:00,Antalyaspor,Trabzonspor,D,1,1,0,1.6,2.6,0.0,0.6
2024-01-14,10:30,Istanbulspor,Konyaspor,D,1,1,0,0.2,0.8,0.2,0.2
2024-01-15,17:00,Galatasaray,Kayserispor,H,3,0,1,2.2,0.6,0.2,0.2
2024-01-20,10:30,Kasimpasa,Hatayspor,H,3,0,1,1.0,0.6,0.2,0.2
2024-01-20,13:00,Alanyaspor,Rizespor,H,3,0,1,1.6,2.0,0.2,0.2
2024-01-20,13:00,Karagumruk,Buyuksehyr,D,1,1,0,0.6,2.2,0.6,0.0
2024-01-20,16:00,Ad. Demirspor,Ankaragucu,D,1,1,0,1.2,1.2,0.2,0.2
2024-01-20,16:00,Pendikspor,Besiktas,H,3,0,1,0.6,1.8,0.2,0.2
2024-01-21,13:00,Konyaspor,Antalyaspor,D,1,1,0,1.0,1.2,0.2,0.2
2024-01-21,16:00,Trabzonspor,Galatasaray,A,0,3,2,2.2,2.2,0.0,0.6
